,Dimension,Number of Phenotypes,Vectors of probability,Std value,Accuracy
0,3,2,"[array([0.3625 , 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.525  ]), array([0.525  , 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.3625 ])]",2,0.9
1,3,2,"[array([0.325  , 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.5625 ]), array([0.5625 , 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.325  ])]",2,0.96
2,3,2,"[array([0.6625 , 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.225  ]), array([0.225  , 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.6625 ])]",2,1.0
3,3,2,"[array([0.04375, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.84375]), array([0.84375, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.04375])]",2,1.0
4,3,2,"[array([0.3625 , 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.525  ]), array([0.525  , 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.3625 ])]",2,0.64
5,3,2,"[array([0.325  , 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.5625 ]), array([0.5625 , 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.325  ])]",2,0.52
6,3,2,"[array([0.6625 , 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.225  ]), array([0.225  , 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.6625 ])]",2,1.0
7,3,2,"[array([0.04375, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.84375]), array([0.84375, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.04375])]",2,1.0
8,3,2,"[array([0.3625 , 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.525  ]), array([0.525  , 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.3625 ])]",1,0.6
9,3,2,"[array([0.325  , 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.5625 ]), array([0.5625 , 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.325  ])]",1,0.82
10,3,2,"[array([0.6625 , 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.225  ]), array([0.225  , 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.6625 ])]",1,1.0
11,3,2,"[array([0.04375, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.84375]), array([0.84375, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.04375])]",1,1.0
12,3,2,"[array([0.3625 , 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.525  ]), array([0.525  , 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.3625 ])]",1,0.59
13,3,2,"[array([0.325  , 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.5625 ]), array([0.5625 , 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.325  ])]",1,0.96
14,3,2,"[array([0.6625 , 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.225  ]), array([0.225  , 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.6625 ])]",1,1.0
15,3,2,"[array([0.04375, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.84375]), array([0.84375, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875, 0.01875,
       0.04375])]",1,1.0
